climate,image_file,image_path,rank_in_image,hex,r,g,b,hue_deg,hue_bucket,sat_pct,val_pct,lightness_pct,temp_bin,is_neutral_low_sat,percent_in_image,pixel_count
finland_nature_clean,1224296.avif,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /1224296.avif,1,#625142,98,81,66,28.12,orange,32.65,38.43,32.16,warm,False,76.2089,151299
finland_nature_clean,1224296.avif,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /1224296.avif,2,#F9FBFD,249,251,253,210.0,cyan-blue,1.58,99.22,98.43,neutral,True,20.9996,41691
finland_nature_clean,1224296.avif,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /1224296.avif,3,#85894E,133,137,78,64.07,yellow,43.07,53.73,42.16,warm,False,2.7915,5542
finland_nature_clean,13-3-10602828.avif,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /13-3-10602828.avif,1,#326CCD,50,108,205,217.55,cyan-blue,75.61,80.39,50.0,cool,False,100.0,199692
finland_nature_clean,13-3-6883603.avif,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /13-3-6883603.avif,1,#3846B0,56,70,176,233.0,blue,68.18,69.02,45.49,cool,False,100.0,198251
finland_nature_clean,2_0104_14_35.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /2_0104_14_35.jpg,1,#145CB6,20,92,182,213.33,cyan-blue,89.01,71.37,39.61,cool,False,100.0,198395
finland_nature_clean,39-122934465a7dd6c56692.avif,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /39-122934465a7dd6c56692.avif,1,#5A8AD6,90,138,214,216.77,cyan-blue,57.94,83.92,59.61,cool,False,100.0,199614
finland_nature_clean,39-12629056602c05badafd.avif,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /39-12629056602c05badafd.avif,1,#352E2F,53,46,47,351.43,red,13.21,20.78,19.41,warm,False,85.3321,170374
finland_nature_clean,39-12629056602c05badafd.avif,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /39-12629056602c05badafd.avif,2,#F6D5CA,246,213,202,15.0,orange,17.89,96.47,87.84,warm,False,14.6679,29286
finland_nature_clean,39-788240605c666995761.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /39-788240605c666995761.jpeg,1,#5D4C48,93,76,72,11.43,red,22.58,36.47,32.35,warm,False,91.2646,182219
finland_nature_clean,39-788240605c666995761.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /39-788240605c666995761.jpeg,2,#FEFEFE,254,254,254,0.0,red,0.0,99.61,99.61,neutral,True,8.7354,17441
finland_nature_clean,62ce75b743df0.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /62ce75b743df0.jpg,1,#857E53,133,126,83,51.6,yellow,37.59,52.16,42.35,warm,False,85.9031,171296
finland_nature_clean,62ce75b743df0.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /62ce75b743df0.jpg,2,#8F6838,143,104,56,33.1,orange,60.84,56.08,39.02,warm,False,14.0969,28110
finland_nature_clean,Beautiful-snowy-Lapland.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Beautiful-snowy-Lapland.jpg,1,#AB8E7A,171,142,122,24.49,orange,28.65,67.06,57.45,warm,False,40.3842,80629
finland_nature_clean,Beautiful-snowy-Lapland.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Beautiful-snowy-Lapland.jpg,2,#463F4E,70,63,78,268.0,blue-purple,19.23,30.59,27.65,cool,False,31.4392,62770
finland_nature_clean,Beautiful-snowy-Lapland.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Beautiful-snowy-Lapland.jpg,3,#7992B8,121,146,184,216.19,cyan-blue,34.24,72.16,59.8,cool,False,19.1355,38205
finland_nature_clean,Beautiful-snowy-Lapland.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Beautiful-snowy-Lapland.jpg,4,#D1D7D9,209,215,217,195.0,cyan,3.69,85.1,83.53,neutral,True,9.0411,18051
finland_nature_clean,DSC_6507.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /DSC_6507.webp,1,#928E8B,146,142,139,25.71,orange,4.79,57.25,55.88,neutral,True,52.5872,104993
finland_nature_clean,DSC_6507.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /DSC_6507.webp,2,#3E2F1F,62,47,31,30.97,orange,50.0,24.31,18.24,warm,False,47.4128,94662
finland_nature_clean,Finland-Wikimedia-Commons.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Finland-Wikimedia-Commons.jpg,1,#212E1E,33,46,30,108.75,green,34.78,18.04,14.9,cool,False,25.7244,51333
finland_nature_clean,Finland-Wikimedia-Commons.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Finland-Wikimedia-Commons.jpg,2,#586748,88,103,72,89.03,yellow-green,30.1,40.39,34.31,warm,False,25.3811,50648
finland_nature_clean,Finland-Wikimedia-Commons.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Finland-Wikimedia-Commons.jpg,3,#75686B,117,104,107,346.15,red,11.11,45.88,43.33,neutral,True,22.9827,45862
finland_nature_clean,Finland-Wikimedia-Commons.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Finland-Wikimedia-Commons.jpg,4,#D4E0F4,212,224,244,217.5,cyan-blue,13.11,95.69,89.41,cool,False,17.2132,34349
finland_nature_clean,Finland-Wikimedia-Commons.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Finland-Wikimedia-Commons.jpg,5,#F8EECD,248,238,205,46.05,yellow,17.34,97.25,88.82,warm,False,8.6986,17358
finland_nature_clean,Finnish-pilot-site-COVER-PHOTO-Kotkanoja_Heikkinen.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Finnish-pilot-site-COVER-PHOTO-Kotkanoja_Heikkinen.webp,1,#7D875F,125,135,95,75.0,yellow-green,29.63,52.94,45.1,warm,False,76.8118,153387
finland_nature_clean,Finnish-pilot-site-COVER-PHOTO-Kotkanoja_Heikkinen.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /Finnish-pilot-site-COVER-PHOTO-Kotkanoja_Heikkinen.webp,2,#BEAF8C,190,175,140,42.0,orange,26.32,74.51,64.71,warm,False,13.5974,27153
